iter	Passed	Remaining
601	12046	7964
602	12066	7944
603	12086	7924
604	12107	7905
605	12128	7885
606	12148	7865
607	12169	7845
608	12188	7825
609	12208	7805
610	12228	7785
611	12248	7765
612	12266	7744
613	12285	7723
614	12304	7702
615	12323	7682
616	12342	7661
617	12360	7640
618	12374	7616
619	12393	7595
620	12412	7575
621	12432	7555
622	12451	7534
623	12471	7514
624	12491	7494
625	12511	7475
626	12532	7455
627	12552	7435
628	12571	7415
629	12589	7394
630	12609	7373
631	12628	7353
632	12648	7333
633	12669	7313
634	12689	7294
635	12710	7274
636	12730	7254
637	12750	7234
638	12770	7214
639	12789	7194
640	12808	7173
641	12827	7153
642	12847	7133
643	12866	7112
644	12885	7091
645	12904	7071
646	12924	7051
647	12942	7030
648	12957	7007
649	12976	6987
650	12996	6967
651	13015	6947
652	13036	6927
653	13056	6907
654	13076	6887
655	13096	6867
656	13117	6848
657	13136	6827
658	13152	6805
659	13172	6785
660	13191	6765
661	13211	6745
662	13231	6725
663	13250	6704
664	13268	6683
665	13286	6663
666	13305	6642
667	13326	6623
668	13347	6603
669	13366	6583
670	13387	6563
671	13407	6544
672	13428	6524
673	13448	6504
674	13470	6485
675	13489	6465
676	13508	6445
677	13528	6424
678	13548	6405
679	13569	6385
680	13589	6365
681	13604	6343
682	13624	6323
683	13640	6301
684	13659	6281
685	13679	6261
686	13699	6241
687	13721	6222
688	13740	6202
689	13761	6182
690	13782	6163
691	13801	6142
692	13819	6122
693	13838	6101
694	13858	6081
695	13879	6062
696	13899	6042
697	13918	6022
698	13933	6000
699	13953	5980
700	13974	5960
701	13995	5941
702	14015	5921
703	14035	5901
704	14055	5881
705	14076	5861
706	14097	5842
707	14114	5821
708	14129	5799
709	14149	5779
710	14163	5757
711	14179	5735
712	14197	5715
713	14219	5695
714	14238	5675
715	14258	5655
716	14278	5635
717	14298	5615
718	14318	5596
719	14338	5576
720	14354	5554
721	14374	5534
722	14393	5514
723	14412	5494
724	14431	5474
725	14448	5452
726	14467	5432
727	14488	5413
728	14510	5394
729	14530	5374
730	14549	5354
731	14569	5334
732	14588	5314
733	14608	5293
734	14627	5273
735	14648	5254
736	14664	5232
737	14684	5213
738	14704	5193
739	14723	5172
740	14742	5152
741	14760	5132
742	14774	5110
743	14795	5090
744	14810	5069
745	14825	5047
746	14840	5026
747	14856	5005
748	14873	4984
749	14890	4963
750	14907	4942
751	14923	4921
752	14939	4900
753	14959	4880
754	14975	4859
755	14992	4838
756	15007	4817
757	15025	4797
758	15045	4777
759	15060	4756
760	15076	4734
761	15091	4713
762	15106	4692
763	15121	4670
764	15136	4649
765	15152	4628
766	15166	4607
767	15180	4585
768	15196	4564
769	15211	4543
770	15226	4522
771	15241	4501
772	15257	4480
773	15272	4459
774	15288	4438
775	15302	4417
776	15318	4396
777	15333	4375
778	15348	4354
779	15364	4333
780	15380	4312
781	15394	4291
782	15410	4270
783	15426	4250
784	15439	4228
785	15455	4208
786	15470	4187
787	15485	4166
788	15500	4145
789	15513	4123
790	15526	4102
791	15537	4080
792	15551	4059
793	15566	4038
794	15582	4018
795	15598	3997
796	15613	3976
797	15629	3956
798	15644	3935
799	15660	3915
800	15676	3894
801	15691	3874
802	15707	3853
803	15723	3833
804	15739	3812
805	15755	3792
806	15770	3771
807	15786	3751
808	15800	3730
809	15814	3709
810	15831	3689
811	15846	3668
812	15862	3648
813	15873	3627
814	15886	3606
815	15898	3585
816	15914	3564
817	15934	3545
818	15945	3523
819	15957	3502
820	15972	3482
821	15991	3462
822	16006	3442
823	16022	3422
824	16037	3401
825	16048	3380
826	16057	3359
827	16072	3338
828	16086	3318
829	16102	3298
830	16116	3277
831	16126	3256
832	16135	3234
833	16149	3214
834	16160	3193
835	16174	3172
836	16186	3152
837	16197	3131
838	16212	3111
839	16225	3090
840	16238	3070
841	16250	3049
842	16262	3028
843	16275	3008
844	16288	2987
845	16300	2967
846	16313	2946
847	16324	2926
848	16337	2905
849	16349	2885
850	16360	2864
851	16372	2844
852	16385	2823
853	16397	2803
854	16409	2782
855	16421	2762
856	16432	2741
857	16442	2721
858	16452	2700
859	16465	2680
860	16477	2660
861	16490	2639
862	16501	2619
863	16514	2599
864	16528	2579
865	16542	2559
866	16558	2540
867	16573	2520
868	16588	2500
869	16604	2481
870	16619	2461
871	16635	2441
872	16651	2422
873	16664	2402
874	16677	2382
875	16692	2362
876	16706	2343
877	16721	2323
878	16733	2303
879	16748	2283
880	16763	2264
881	16778	2244
882	16792	2225
883	16808	2205
884	16823	2186
885	16838	2166
886	16854	2147
887	16868	2127
888	16883	2108
889	16897	2088
890	16912	2068
891	16926	2049
892	16941	2029
893	16956	2010
894	16971	1991
895	16986	1971
896	17001	1952
897	17016	1932
898	17031	1913
899	17046	1894
900	17061	1874
901	17076	1855
902	17091	1835
903	17107	1816
904	17123	1797
905	17139	1778
906	17154	1758
907	17168	1739
908	17183	1720
909	17197	1700
910	17211	1681
911	17224	1662
912	17239	1642
913	17255	1623
914	17269	1604
915	17283	1584
916	17297	1565
917	17313	1546
918	17328	1527
919	17344	1508
920	17359	1489
921	17374	1469
922	17389	1450
923	17405	1431
924	17420	1412
925	17435	1393
926	17449	1374
927	17464	1354
928	17479	1335
929	17494	1316
930	17509	1297
931	17524	1278
932	17538	1259
933	17554	1240
934	17568	1221
935	17583	1202
936	17597	1183
937	17611	1164
938	17625	1145
939	17639	1125
940	17653	1106
941	17668	1087
942	17682	1068
943	17696	1049
944	17712	1030
945	17726	1011
946	17740	992
947	17754	973
948	17769	954
949	17783	935
950	17796	916
951	17811	898
952	17824	879
953	17839	860
954	17852	841
955	17867	822
956	17881	803
957	17895	784
958	17909	765
959	17923	746
960	17938	727
961	17953	709
962	17968	690
963	17983	671
964	17997	652
965	18012	633
966	18026	615
967	18042	596
968	18056	577
969	18071	558
970	18086	540
971	18101	521
972	18115	502
973	18130	483
974	18144	465
975	18159	446
976	18172	427
977	18187	409
978	18200	390
979	18216	371
980	18231	353
981	18244	334
982	18258	315
983	18273	297
984	18289	278
985	18303	259
986	18317	241
987	18331	222
988	18345	204
989	18361	185
990	18376	166
991	18390	148
992	18404	129
993	18418	111
994	18433	92
995	18448	74
996	18462	55
997	18476	37
998	18490	18
999	18505	0
